title,company,location,description,url
Senior Actuarial Analyst - Predictive Modeling,"AmTrust Financial Services, Inc.","Hybrid work in New York, NY 10038",,
AI Infrastructure Software Engineer,Fireworks AI,"New York, NY",,
Data Scientist,Robert Half,"Grand Central, Manhattan","Description We are offering an exciting opportunity in the detail oriented services industry in New York, New York, for a Data Scientist. This role is centered around analyzing complex data sets to derive insights and forecast trends using AI and machine learning techniques. The individual in this role will be responsible for developing predictive models that inform business strategies and decision-making processes. They will also ensure the integrity and accuracy of data used in these models. …",https://www.adzuna.com/details/4755388135?utm_medium=api&utm_source=e38e45d5
Data Scientist,Robert Half,"Grand Central, Manhattan","Description We are in the market for a skilled Data Scientist to be a part of our established team in the detail oriented services industry. This role is based in New York, New York, 10106, United States. The individual will be responsible for analyzing complex data sets to extract insights and forecast trends, utilizing Artificial Intelligence and machine learning techniques. This role is an exciting opportunity for those seeking to have a significant impact on business strategies and decision…",https://www.adzuna.com/details/4755387950?utm_medium=api&utm_source=e38e45d5
Data Scientist,City of New York,"Grand Central, Manhattan","Job Description Transportation Planning and Management (TPM) is responsible for the safe, efficient, and environmentally responsible movement of people and goods on the City's streets, supporting the larger goals of economic and social vitality for people living, working, and doing business in New York City. The Division's responsibilities include planning, street design, technical analysis, signs, transit development, freight mobility and markings, ensuring the safety of motor vehicle occupant…",https://www.adzuna.com/details/4566397277?utm_medium=api&utm_source=e38e45d5
"Games Data Scientist, AGS Data Science",Amazon,"Grand Central, Manhattan","Description Amazon is all-in on games, and our mission is to be the most customer-obsessed company in the games industry. At Amazon Games, we're creating compelling games like New World, a sandbox MMO set on a supernatural continent, as well as several - as of yet - undisclosed titles. Amazon Games is also delivering great game benefits to Prime members each month via Prime Gaming, and providing game developers of all sizes with the tools they need to succeed with Amazon Game Tech. We are seeki…",https://www.adzuna.com/details/4748898511?utm_medium=api&utm_source=e38e45d5
"Manager, Data Scientist - Commercial Banking Data Science",Capital One,"Grand Central, Manhattan","11 West 19th Street (22008), United States of America, New York, New York Manager, Data Scientist - Commercial Banking Data Science Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988 Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a le…",https://www.adzuna.com/details/4699103273?utm_medium=api&utm_source=e38e45d5
"Manager, Clinical Data Scientist, Clinical Data Sciences",Pfizer,"Grand Central, Manhattan","WHY PATIENTS NEED YOU Pfizer's purpose is to deliver breakthroughs that change patients' lives. Research and Development is at the heart of fulfilling Pfizer's purpose as we work to translate advanced science and technologies into the therapies and vaccines that matter most. Whether you are in the discovery sciences, ensuring drug safety and efficacy or supporting clinical trials, you will apply cutting edge design and process development capabilities to accelerate and bring the best in class m…",https://www.adzuna.com/details/4753736192?utm_medium=api&utm_source=e38e45d5
"Manager, Clinical Data Scientist, Clinical Data Sciences",Pfizer,"Grand Central, Manhattan","WHY PATIENTS NEED YOU Pfizer's purpose is to deliver breakthroughs that change patients' lives. Research and Development is at the heart of fulfilling Pfizer's purpose as we work to translate advanced science and technologies into the therapies and vaccines that matter most. Whether you are in the discovery sciences, ensuring drug safety and efficacy or supporting clinical trials, you will apply cutting edge design and process development capabilities to accelerate and bring the best in class m…",https://www.adzuna.com/details/4753736185?utm_medium=api&utm_source=e38e45d5
"Manager, Clinical Data Scientist, Clinical Data Sciences",Pfizer,"Grand Central, Manhattan","WHY PATIENTS NEED YOU Pfizer's purpose is to deliver breakthroughs that change patients' lives. Research and Development is at the heart of fulfilling Pfizer's purpose as we work to translate advanced science and technologies into the therapies and vaccines that matter most. Whether you are in the discovery sciences, ensuring drug safety and efficacy or supporting clinical trials, you will apply cutting edge design and process development capabilities to accelerate and bring the best in class m…",https://www.adzuna.com/details/4766600503?utm_medium=api&utm_source=e38e45d5
Data Science Manager,City of New York,"Grand Central, Manhattan","Job Description Hours: Full-Time Position - 35 Hours Work Location: 30-30 Thomson Avenue, LIC, NY 11101 The NYC Department of Design and Construction utilizes advanced data analytics to drive efficiency. Several emerging technologies are being used to help transform how the Agency plans and delivers capital projects. DDC's analytics efforts are undertaken in support of capital project delivery by identifying drivers of project performance and uncover correlations between project data. The Proje…",https://www.adzuna.com/details/4708647753?utm_medium=api&utm_source=e38e45d5
Principal Data Scientist,"InVitro Cell Research, LLC","Leonia, Bergen County","We're hiring a Principal Data Scientist with expertise in predictive statistics (analytics and modeling, especially as applied to diagnostics), bioinformatics and machine learning. Because you will be working with medical and biological datasets, a background in biomedical sciences is required. Fluency in R and Python is definitely preferred. Please notice that this is not a financial-sector job . However, if you're looking for a challenging, deeply rewarding position applying advanced data ana…",https://www.adzuna.com/land/ad/4784812867?se=9usC4FFN7xGfA6M10vaqdw&utm_medium=api&utm_source=e38e45d5&v=43940EE8902E3228D25CBBE3571C52B606D62642
Senior Data Scientist,"InVitro Cell Research, LLC","Leonia, Bergen County","We're hiring Senior Data Scientists with expertise in integrating and analyzing multi-omic datasets to identify diagnostic disease signatures and find actionable targets for drug development. These scientists would work in ICR's Translational Bioinformatics Group, focusing on rare and hard-to-diagnose diseases. Strong programming and statistics backgrounds are required, and machine learning experience is preferred. With ICR, you'll get to: Perform high-impact, high-reward rare and hard-to-diagn…",https://www.adzuna.com/land/ad/4784812745?se=9usC4FFN7xGfA6M10vaqdw&utm_medium=api&utm_source=e38e45d5&v=C9ADEDE85F2F9DA7A1D7DBD6B87336D33B2C2851
"Manager, Data Science & Analytics",Revlon,"Grand Central, Manhattan","Description At Revlon, we create beauty innovations for everyone that inspire confidence and ignite joy every day. Breaking beauty boundaries is in our company's DNA. Since its game-changing launch of the first opaque nail enamel in 1932 (and later, the first long-wear foundation), Revlon has provided consumers with high-quality product innovation, performance, and sophisticated glamour. Elizabeth Arden made waves as a woman-led beauty company in the 1920s. In 1931, Almay became the original hy…",https://www.adzuna.com/details/4713814072?utm_medium=api&utm_source=e38e45d5
Language Data Scientist II,Amazon,"Grand Central, Manhattan",Description The Bedrock AI Data Team in Amazon Web Services (AWS) is looking for a Language Data Scientist to collaborate in developing solutions for natural language data collections. This position is an opportunity to apply your expertise in a challenging but supportive environment. The mission of the Bedrock AI Data Team is to engineer the datasets critical to the success of AWS's Bedrock services. From human evaluations to Responsible AI safeguards to Retrieval-Augmented Generation and beyo…,https://www.adzuna.com/details/4730353515?utm_medium=api&utm_source=e38e45d5
Director of Data Science and Innovation,City of New York,"Grand Central, Manhattan","Job Description The Fire Department of the City of New York (FDNY) is the largest Fire Department in the United States and universally is recognized as the world's busiest and most highly skilled emergency response agency. The Department's main goal is to provide fire protection, emergency medical care, and other critical public safety services to residents and visitors in the five boroughs. FDNY members are sworn to serve and protect life and property and the Department works to continually ed…",https://www.adzuna.com/details/4753743871?utm_medium=api&utm_source=e38e45d5
"Sr. Data Scientist, ProServe GenAI",Amazon,"Grand Central, Manhattan","Description Are you looking to work at the forefront of Machine Learning and AI? Would you be excited to apply cutting edge Generative AI algorithms to solve real world problems with significant impact? The Generative AI Innovation Center at AWS is a new strategic team that helps AWS customers implement Generative AI solutions and realize transformational business opportunities. This is a team of strategists, data scientists, engineers, and solution architects working step-by-step with customer…",https://www.adzuna.com/details/4764958209?utm_medium=api&utm_source=e38e45d5
"Senior Data Scientist, Sales Insights, Analytics, Data Engineering & Science (SIADS)",Amazon,"Grand Central, Manhattan","Description AWS is seeking an experienced, self-directed Data Scientist to support Sales, Strategy, and Operations. They will be responsible for finding new ways of leveraging our large, complex data streams to help us serve our customers in their journey to the cloud. A successful candidate will collaborate closely with business stakeholders, product managers, and data engineers on high visibility and high impact initiatives. They will invent, implement, and deploy state of the art machine lea…",https://www.adzuna.com/details/4757254604?utm_medium=api&utm_source=e38e45d5
"Manager, Data Science - Fraud, Deep Learning",Capital One,"Grand Central, Manhattan","11 West 19th Street (22008), United States of America, New York, New York Manager, Data Science - Fraud, Deep Learning Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988 Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the w…",https://www.adzuna.com/details/4755404516?utm_medium=api&utm_source=e38e45d5
"Principal Data Scientist - Fraud, Deep Learning",Capital One,"Grand Central, Manhattan","11 West 19th Street (22008), United States of America, New York, New York Principal Data Scientist - Fraud, Deep Learning Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988 Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in th…",https://www.adzuna.com/details/4715181146?utm_medium=api&utm_source=e38e45d5
"Senior Generative AI Data Scientist, Amazon SageMaker",Amazon,"Grand Central, Manhattan","Description Are you passionate about Generative AI (GenAI)? Do you want to help define the future of Go to Market (GTM) at AWS using generative AI? In this role, you will help some of our largest customers build and deploy GenAI enabled applications using Amazon SageMaker, fine tune and build Generative AI models, and help enterprise customers leverage these models to power end applications. You will engage with AWS product owners to influence product direction and help our customers tap into n…",https://www.adzuna.com/details/4748898504?utm_medium=api&utm_source=e38e45d5
Corporate Vice President - Director of Data Science (Generative AI),New York Life Insurance Company,"Grand Central, Manhattan","Location Designation: [[cust_rolelocationdesignation]] When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both …",https://www.adzuna.com/details/4170637607?utm_medium=api&utm_source=e38e45d5
Corporate Vice President - Gen AI Lead Data Scientist,New York Life Insurance Company,"Grand Central, Manhattan","Location Designation: [[cust_rolelocationdesignation]] When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both …",https://www.adzuna.com/details/4758681422?utm_medium=api&utm_source=e38e45d5
Staff Data Scientist - Data Science,Datadog,"Church Street, Manhattan","We are looking for a staff data scientist to join our data science organization. Reporting directly to the director of engineering for data science, your scope and impact will span across the whole data science organization. As a staff data scientist, you will help design, implement and scale new and existing Datadog's features. You will thrive to answer questions such as: ""Is it feasible?"", ""can we do it more efficiently with another technique?"" and ""what's the business opportunity of this new…",https://www.adzuna.com/details/4459005038?utm_medium=api&utm_source=e38e45d5
